Element ID,Object ID,Object Metadata ID,Metadata Column,Metadata Value,Table Name,Field Name,Description,Enum Class,UOM,Question Order,SES Class,SES_Alt1,SES_Alt2,SES_Alt3
1,,1,,,OVERSITE,ONAME,Site Name,,,Top,,,,
2,,1,,,OVERSITE,RID,Research ID,1,,Top,,,,
3,,1,,,OVERSITE,CID,Country ID,2,,Top,,,,
4,,1,,,OVERSITE,SID,Site ID,,,Top,,,,
5,,1,,,OVERSITE,VISITDATE,Date of Visit,,,Top,,,,
6,,1,,,OVERSITE,OCODED,Previously Coded,3,,Top,,,,
7,,1,,,OVERSITE,OSTRTVISIT,Beginning date of this site visit,,,A1,,,,
8,,1,,,OVERSITE,OENDVISIT,Ending date of this site visit,,,A2,,,,
9,,1,,,OVERSITE,OTMONSITE,Was the team onsite,4,,A3,,,,
10,,1,,,OVERSITE,OPROJNAME,IFRI project name,,,A4,,,,
11,,1,,,OVERSITE,OSAMPFRAME,Sampling frame information,,,A5,,,,
12,,1,,,OVERSITE,OTMLEADER,Team leader name(s),,,A6,,,,
13,,1,,,OVERSITE,OFORSPEC,Forest specialist name(s),,,A7,,,,
14,,1,,,OVERSITE,OTEAMINFO,Team information,,,A8,,,,
15,,1,,,OVERSITE,OBOTANSRC,Botanical sources consulted,,,A9,,,,
16,,1,,,OVERSITE,ODISCNAME,List names of people with whom discussions were held,,,A10,,,,
17,,1,,,OVERSITE,OINFMETHOD,Methods/locations to obtain information,,,A11,,,,
18,,1,,,OVERSITE,OSITEDESC,Please give a general site description,,,A12,,,,
19,1,,,,OVERSITE,OHISTCHNG,Have there been any major site changes since last visit?,,,B0,O2,,,
20,,1,,,OVERSITE,OCODEBASIS,Basis for data collection coding,5,,B1,,,,
21,,1,,,OVERSITE,OCODEOTH,Language/Name of translator,,,B1,,,,
22,,1,,,OVERSITE,ODATASRCE,From what sources have data been collected,6,,B2,,,,
23,,1,,,OVERSITE,OSECSRCE,Please list secondary data sources,,,B2a,,,,
24,,1,,,OVERSITE,OCENSAVAIL,Are Census data available?,4,,B3,,,,
25,,1,,,OVERSITE,OCENSUSE,Use of census data,7,,B3a,,,,
26,,1,,,OVERSITE,OCENSFILES,"describe census file names,locations,and availability",,,B3b,,,,
27,,1,,,OVERSITE,OHHSURVEY,Has a household survey been conducted,4,,B4,,,,
28,,1,,,OVERSITE,OHHDATAHOW,How are household data stored,,,B5,,,,
29,,1,,,OVERSITE,OFIELDINFO,Describe the field methods used,,,B6,,,,
30,,1,,,OVERSITE,OALLNAMES,"Names of forest(s), settlement(s), user group(s), etc",,,B7,,,,
31,,1,,,OVERSITE,OVERIFY,Has site been chosen for verification,4,,B8,,,,
